id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
21577,L'âge d'or,60,1930,7.3,,12638,32712,,"A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society."
21749,Velemestne luči,87,1931,8.5,99,164105,19181,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
21814,Dracula,75,1931,7.5,71,45612,,,"After a naive real estate agent succumbs to the will of Count Dracula, the two head to London where the vampire sleeps in his coffin by day and searches for potential victims by night."
21884,Frankenstein,70,1931,7.8,91,63907,,,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.
22100,M - mesto isce morilca,117,1931,8.3,,140498,28877,,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
22158,Monkey Business,77,1931,7.5,74,11257,,,"On a transatlantic crossing, The Marx Brothers get up to their usual antics and manage to annoy just about everyone on board the ship."
22286,The Public Enemy,83,1931,7.7,,17431,,,"A young hoodlum rises up through the ranks of the Chicago underworld, even as a gangster's accidental death threatens to spark a bloody mob war."
22835,Dr. Jekyll and Mr. Hyde,98,1931,7.6,,12324,,,Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.
22913,Krvava maneza,64,1932,7.9,80,41404,,,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
22958,Grand Hotel,112,1932,7.4,,17055,2692300,,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.
23027,Horse Feathers,68,1932,7.6,83,11649,,,"Quincy Adams Wagstaff, the new president of Huxley University, accidentally hires bumblers Baravelli and Pinky to help his school win the big football game against the rival Darwin University."
23042,I Am a Fugitive from a Chain Gang,92,1932,8.2,,11458,,,"Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him."
23238,The Most Dangerous Game,63,1932,7.1,,10268,965740,,An insane hunter arranges for a ship to be wrecked on an island where he can indulge in some sort of hunting and killing of the passengers.
23245,Mumija,73,1932,7.1,,22989,,,An Egyptian mummy searches Cairo for the girl he thinks is his long-lost princess.
23293,The Old Dark House,72,1932,7.1,,9017,25678,,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate."
23427,Scarface: The Shame of the Nation,93,1932,7.8,87,24849,,,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
23563,Das Testament des Dr. Mabuse,122,1933,8.0,,11253,,,A criminal mastermind uses hypnosis to rule the rackets after death.
23622,Tezave v raju,83,1932,8.0,,12617,,,A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.
23649,Vampyr,75,1932,7.5,,15413,,,A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
23694,White Zombie,69,1932,6.3,,9125,,,"A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave."
23969,Nora vojna bratov Marx,69,1933,7.8,93,54960,,,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
24034,42nd Street,89,1933,7.4,83,10566,2300000,,"When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show."
24184,Nevidni človek,71,1933,7.7,87,29629,,,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
24188,Island of Lost Souls,70,1932,7.4,,8016,,,"A mad doctor conducts ghastly genetic experiments on a remote island in the South Seas, much to the fear and disgust of the shipwrecked sailor who finds himself trapped there."
24216,King Kong,100,1933,7.9,90,77821,10000000,,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
24601,Sons of the Desert,68,1933,7.6,,7708,,,"When Stan and Ollie trick their wives into thinking that they are taking a medicinal cruise while they're actually going to a convention, the wives find out the truth the hard way."
24844,"Atalanta ali trabakula, ki plove mimo",89,1934,7.8,,14233,,,Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.
24894,The Black Cat,65,1934,7.0,,9252,514480,,American honeymooners in Hungary become trapped in the home of a Satan-worshiping priest when the bride is taken there for medical help following a road accident.
25316,Zgodilo se je neke noci,105,1934,8.1,87,92008,4360000,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
25452,The Man Who Knew Too Much,75,1934,6.8,,16677,,,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.
25878,The Thin Man,91,1934,8.0,86,25932,,,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
26029,39 stopnic,86,1935,7.6,93,50868,,,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information."
26138,Bride of Frankenstein,75,1935,7.8,95,42551,4360000,,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
26174,Captain Blood,119,1935,7.7,,12792,,,"After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate."
26752,Mutiny on the Bounty,132,1935,7.7,87,20452,,,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1788 mutiny."
26778,A Night at the Opera,96,1935,7.9,,30149,2537520,,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
27125,Top Hat,101,1935,7.7,92,17143,3884760,,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer."
27260,After the Thin Man,112,1936,7.7,,9266,,,Nick investigates the case of a missing man and later a murder that is connected to Nora's family.
27532,Dodsworth,101,1936,7.8,,8029,,,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.
27652,Fury,92,1936,7.9,,11062,,,"When a wrongly accused prisoner barely survives a lynch mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder."
27977,Moderni časi,87,1936,8.5,96,213002,163245,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
27996,Mister Deeds - Milijonar dobrotnik,115,1936,7.9,,19400,,,A simple small-town man inherits a massive fortune and is immediately hounded by those who wish to take advantage of him.
28010,My Man Godfrey,94,1936,8.0,82,20613,,,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.
28096,The Petrified Forest,82,1936,7.5,,12263,,,"A waitress, a hobo and a bank robber get mixed up at a lonely diner in the desert."
28212,Sabotage,76,1936,7.1,85,14593,,,"A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel."
28231,Secret Agent,86,1936,6.5,,7650,,,"After three British Agents are assigned to assassinate a mysterious German spy during World War I, two of them become ambivalent when their duty to the mission conflicts with their consciences."
28333,Swing Time,103,1936,7.6,91,12082,,,"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks."
28346,Tell Your Children,66,1936,3.8,70,7775,,,"Cautionary tale features a fictionalized take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music."
28597,The Awful Truth,90,1937,7.7,87,17257,,,"A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought."
28691,Captains Courageous,117,1937,8.0,,8563,,G,"A spoiled brat who falls overboard from a steamship gets picked up by a fishing boat, where he's made to earn his keep by joining the crew in their work."
28772,En dan smeha,111,1937,7.6,,12822,,,A veterinarian posing as a doctor and a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse.
28950,Velika iluzija,113,1937,8.1,,33339,172885,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
29162,Lost Horizon,132,1937,7.7,,11830,,,"When a wise diplomat's plane crashes in the snows of Tibet, he and the other survivors are guided to Shangri-La, where they wrestle with the invitation to stay."
29284,Moja najljubsa zena,88,1940,7.4,,9071,,,"Missing for seven years and presumed dead, a woman returns home on the day of her husband's second marriage."
29583,Sneguljčica in sedem škratov,83,1937,7.6,95,178228,184925485,Approved,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
29606,Kariera,111,1937,7.3,77,8536,4360000,,"A young woman comes to Hollywood with dreams of stardom, and achieves them only with the help of an alcoholic leading man whose best days are behind him."
29811,Young and Innocent,80,1937,6.9,,8479,,,A man on the run from a murder charge enlists a beautiful stranger who must put herself at risk for his cause.
29843,Robin Hood,102,1938,7.9,97,46569,3981000,PG,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
29850,Aleksandr Nevskiy,112,1938,7.6,,10338,,,The story of how a great Russian prince led a ragtag army to battle an invading force of Teutonic Knights.
29870,Angels with Dirty Faces,97,1938,7.9,,19531,,,A priest tries to stop a gangster from corrupting a group of street kids.
29947,Bringing Up Baby,102,1938,7.9,91,54189,,,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
30241,Flirt,95,1938,7.8,,14103,,,A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.
30287,Jezebel,104,1938,7.5,,11800,,,"In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back."
30341,Gospa izginja,96,1938,7.8,,46482,,,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
30637,Pygmalion,96,1938,7.7,,7736,3052000,,A phonetics and diction expert makes a bet that he can teach a cockney flower girl to speak proper English and pass as a lady in high society.
30643,Obala v megli,91,1938,7.8,,8085,26765,,A military deserter finds love and trouble (and a small dog) in a smoky French port city.
30993,Večna iluzija,126,1938,7.9,,22977,4659913,,A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
31210,Gospa Judita,104,1939,7.5,,9821,,,"A young socialite is diagnosed with an inoperable brain tumor, and must decide whether or not she'll meet her final days with dignity."
31225,Destry Rides Again,95,1939,7.7,81,10025,345000,,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy."
31381,V vrtincu,238,1939,8.1,97,285447,198676459,,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
31385,Zbogom mister Chips,114,1939,7.9,,9591,,,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.
31398,Gunga Din,117,1939,7.3,,10790,,,"In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land."
31448,The Hound of the Baskervilles,80,1939,7.5,,9287,,,"Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate."
31455,The Hunchback of Notre Dame,117,1939,7.8,,10226,3270000,,"In 15th-century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her."
31505,Jamaica Inn,108,1939,6.3,,8922,,,"In Cornwall, 1819, a young woman discovers she's living near a gang of criminals who arrange shipwrecks for profit."
31679,Mister Smith v senatu,129,1939,8.1,73,105110,9600000,,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
31725,Ninočka,110,1939,7.9,,18593,1187000,,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.
31762,Only Angels Have Wings,121,1939,7.7,86,12260,,,"At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract."
31867,The Roaring Twenties,106,1939,8.0,,12537,,,Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.
31885,Pravilo igre,110,1939,8.0,,26259,,,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
31951,Son of Frankenstein,99,1939,7.1,,8852,,,"Returning to the ancestral castle long after the death of the monster, the son of Dr. Frankenstein meets a mad shepherd who is hiding the comatose creature. To clear the family name, he revives the creature and tries to rehabilitate him."
31971,Stagecoach,96,1939,7.8,93,42614,,,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
32138,Čarovnik iz Oza,102,1939,8.0,100,367382,2076020,PG,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
32143,V ženskem carstvu,133,1939,7.8,,12376,2270000,,A study of the lives and romantic entanglements of various interconnected women.
32145,Glas v viharju,104,1939,7.6,,16138,762484,,A servant in the house of Wuthering Heights tells a traveler the unfortunate tale of lovers Cathy and Heathcliff.
32455,Fantasia,125,1940,7.7,96,87232,76408097,,A collection of animated interpretations of great works of Western classical music.
32484,Foreign Correspondent,120,1940,7.5,88,18050,3484588,,"On the eve of World War II, a young American reporter tries to expose enemy agents in London."
32551,The Grapes of Wrath,129,1940,8.0,96,84856,55000,,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
32553,Veliki diktator,125,1940,8.4,,198916,288475,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
32599,Njegovo dekle Petek,92,1940,7.9,,52591,296000,,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
32701,Pismo,95,1940,7.6,,11475,,,"The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing."
32762,The Mark of Zorro,94,1940,7.5,,9098,4360000,,A young Spanish aristocrat must masquerade as a fop in order to maintain his secret identity of Zorro as he restores justice to early California.
32904,The Philadelphia Story,112,1940,7.9,96,62416,,,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
32910,Pinocchio,88,1940,7.4,99,128534,84254167,G,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
32976,Rebecca,130,1940,8.1,86,120274,4360000,,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
33028,Morski volk,127,1940,7.7,,9009,,,"Geoffrey Thorpe, a buccaneer, is hired by Queen Elizabeth I to nag the Spanish Armada. The Armada is waiting for the attack on England and Thorpe surprises them with attacks on their galleons where he shows his skills on the sword."
33045,Trgovina za vogalom,99,1940,8.1,96,27000,203300,,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
33152,The Thief of Bagdad,106,1940,7.5,,11725,268948,,"After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves."
33238,Waterloo Bridge,108,1940,7.8,,8777,,,"During World War I, believing her fiance to be dead, a young ballerina loses her job and is forced to turn to prostitution."
33373,Ball of Fire,111,1941,7.8,78,10602,,,A group of professors working on a new encyclopedia encounter a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.
33467,Državljan Kane,119,1941,8.3,100,391842,1585634,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
33553,Dr. Jekyll and Mr. Hyde,113,1941,6.8,,8144,,,Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.
33563,Dumbo,64,1941,7.2,96,117585,1600000,G,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
33717,High Sierra,100,1941,7.5,,14812,,,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort."
33729,How Green Was My Valley,118,1941,7.7,,20959,,,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life."
33804,Lady Eve,94,1941,7.8,96,18759,,,"A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him."
33836,The Little Foxes,116,1941,8.0,,10179,,,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century."
33870,Malteški sokol,100,1941,8.0,96,147254,2108060,,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
33891,Meet John Doe,135,1941,7.6,,11874,,,"A man needing money agrees to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins."
33922,Mr. & Mrs. Smith,95,1941,6.4,,9171,,,A couple who have been married for three years are shocked to learn that their marriage is not legally valid.
34167,Sergeant York,134,1941,7.7,,15123,16400000,,A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.
34240,Sullivanova potovanja,90,1941,7.9,,23613,,,"A Hollywood director, John L Sullivan, sets out to experience life as a poor, homeless person in order to gain relevant life experience for his next movie."
34248,Sum,99,1941,7.4,83,31976,4500000,,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her."
34398,The Wolf Man,70,1941,7.3,72,23328,,,"Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller."
34492,Bambi,70,1942,7.3,91,129006,102797150,G,The story of a young deer growing up in the forest.
34583,Casablanca,102,1942,8.5,100,513101,1024560,PG,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
34587,Cat People,73,1942,7.3,,19490,4000000,,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.
34862,Holiday Inn,100,1942,7.4,,12780,8175000,,"At an inn which is only open on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer."
35015,Velicastni Ambersonovi,88,1942,7.7,93,22131,,,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.
35093,Mrs. Miniver,134,1942,7.6,,15603,13500000,,A British family struggles to survive the first months of World War II.
35140,Na razpotju,117,1942,7.9,70,14905,,,"A frumpy spinster blossoms under therapy and becomes an elegant, independent woman."
35169,The Palm Beach Story,88,1942,7.5,,10626,438200,,"An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire."
35211,The Pride of the Yankees,128,1942,7.7,,9736,,,The story of the life and career of famed baseball player Lou Gehrig.
35279,Saboteur,109,1942,7.2,64,22842,,,A young man accused of sabotage goes on the lam to prove his innocence.
35423,Kate in Leopold,118,2001,6.4,44,78105,47121859,PG-13,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.
35432,This Gun for Hire,81,1942,7.4,,8215,,,"When assassin Philip Raven shoots a blackmailer and his beautiful female companion dead, he is paid off in marked bills by his treasonous employer who is working with foreign spies."
35446,Biti ali ne biti,99,1942,8.2,86,28207,,,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
35567,Woman of the Year,114,1942,7.2,,8914,,,"Rival reporters Sam and Tess fall in love and get married, only to find their relationship strained when Sam comes to resent Tess' hectic lifestyle."
35575,Yankee Doodle Dandy,126,1942,7.7,89,13927,11800000,,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
35753,Le corbeau,92,1943,7.9,,8859,34909,,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion."
35896,For Whom the Bell Tolls,170,1943,6.9,68,8241,17800000,,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge."
35899,Frankenstein Meets the Wolf Man,74,1943,6.5,,7604,,,"The resurrected Wolf Man, seeking a cure for his malady, enlists the aid of a mad scientist, who claims he will not only rid the Wolf Man of his nocturnal metamorphosis, but also revive the frozen body of Frankenstein's inhuman creation."
35979,Heaven Can Wait,112,1943,7.5,,9482,,,"An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld."
36027,I Walked with a Zombie,69,1943,7.1,,10816,,,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island."
36112,The Life and Death of Colonel Blimp,163,1943,8.1,,12923,,,"From the Boer War through World War II, a soldier rises through the ranks in the British military."
36244,The Ox-Bow Incident,75,1942,8.0,,20539,1635000,,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men."
36323,Sahara,97,1943,7.5,,7827,,,"After the fall of Tobruk in 1942, during the Allied retreat in the Libyan desert, an American tank picks-up a motley group of survivors but they face advancing Germans and a lack of water."
36342,Senca dvoma,108,1943,7.8,94,58390,,,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
36506,Vredens dag,97,1943,8.1,,9058,,,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th century Denmark.
36613,Arsenic and Old Lace,118,1944,8.0,,64374,,,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
36775,Dvojno zavarovanje,107,1944,8.3,95,140715,5720000,,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
36855,Gaslight,114,1944,7.8,,23823,,,"Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane."
36868,The Best Years of Our Lives,170,1946,8.0,93,56524,23650000,,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
36872,Going My Way,126,1944,7.0,,10289,16300000,,"When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member."
36969,Jane Eyre - Sirota iz Lowooda,97,1943,7.5,,7766,3815000,,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house, to care for his young daughter."
37008,Laura,88,1944,8.0,,41957,4360000,,A police detective falls in love with the woman whose murder he is investigating.
37017,Rešilni čoln,97,1944,7.6,78,26023,,,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the U-boat men who sunk it.
37059,Meet Me in St. Louis,113,1944,7.6,,19992,7566000,,"In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York."
